"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2026","166,507.98","167,801.56","168,376.20","163,907.59","338.19M","-0.71%"
"02/23/2026","167,691.08","172,962.95","174,336.86","166,886.63","204.73M","-3.16%"
"02/20/2026","173,169.70","172,716.16","174,148.33","169,592.53","245.48M","0.58%"
"02/19/2026","172,170.30","179,279.73","179,279.73","171,647.34","229.01M","-3.74%"
"02/18/2026","178,853.09","174,328.61","178,974.17","174,328.61","424.99M","3.29%"
"02/17/2026","173,150.42","174,783.16","176,131.34","171,693.41","424.96M","-0.75%"
"02/16/2026","174,453.94","179,926.88","179,969.23","173,574.27","378.71M","-2.87%"
"02/13/2026","179,603.73","180,577.78","180,832.66","178,237.14","379.80M","-0.50%"
"02/12/2026","180,512.66","182,700.31","182,757.09","178,725.25","448.22M","-1.39%"
"02/11/2026","183,049.81","182,739.72","183,801.70","182,054.66","350.08M","0.49%"
"02/10/2026","182,153.55","183,101.94","183,216.67","181,499.30","636.10M","-0.10%"
"02/09/2026","182,340.38","185,027.17","185,650.59","180,992.80","597.72M","-0.97%"
"02/06/2026","184,129.58","188,023.59","188,036.31","183,547.30","798.69M","-1.97%"
"02/04/2026","187,832.08","187,193.30","188,312.20","187,018.69","767.51M","0.50%"
"02/03/2026","186,900.73","185,555.89","187,518.80","185,545.94","390.20M","1.00%"
"02/02/2026","185,057.83","184,441.94","185,611.73","182,792.41","215.80M","0.48%"
"01/30/2026","184,174.48","183,166.67","186,619.52","182,347.48","344.20M","1.01%"
"01/29/2026","182,338.13","188,686.06","188,923.41","181,961.16","413.82M","-3.21%"
"01/28/2026","188,380.39","188,901.75","189,183.88","188,179.52","423.53M","0.09%"
"01/27/2026","188,202.86","188,775.66","189,521.31","187,538.23","341.59M","-0.20%"
"01/26/2026","188,587.66","189,788.69","191,032.73","188,268.39","449.79M","-0.31%"